review,sentiment
"I absolutely loved this movie, the performances were brilliant and the story was engaging",positive
"This movie was a complete waste of time with a very boring storyline",negative
"The film had great acting and a strong emotional impact",positive
"I did not enjoy this movie, the plot was weak and predictable",negative
"An excellent movie with outstanding direction and visuals",positive
"The movie was too long and failed to keep my interest",negative
"Wonderful storytelling and very good character development",positive
"Poor acting and badly written script ruined the experience",negative
"I really liked the movie, it was entertaining and well made",positive
"This film was disappointing and not worth watching",negative
"The performances were strong and the movie was enjoyable",positive
"The story lacked depth and the movie felt dull",negative
"A very inspiring and beautifully made movie",positive
"The film was confusing and poorly executed",negative
"Great music and excellent cinematography made this movie enjoyable",positive
"The movie failed to deliver and felt unfinished",negative
"An engaging movie with a powerful message",positive
"Terrible direction and bad editing throughout the film",negative
"I enjoyed watching this movie and would recommend it",positive
"This movie was slow and uninteresting",negative
